Id,Title,Difficulty,Total_Accept,Total_Submit,Acceptance,Preimum
1,Two Sum,Easy,9570959,19201888,0.4984384348039109,False
2,Add Two Numbers,Medium,3593004,8874009,0.4048907320242745,False
3,Longest Substring Without Repeating Characters,Medium,4465430,13192484,0.33848288161653256,False
4,Median of Two Sorted Arrays,Hard,1894654,5205209,0.36399191655897006,False
5,Longest Palindromic Substring,Medium,2394834,7384022,0.3243264984855137,False
6,Zigzag Conversion,Medium,1021854,2268995,0.45035533352872087,False
7,Reverse Integer,Medium,2574985,9361562,0.27505933304719876,False
8,String to Integer (atoi),Medium,1244141,7481040,0.16630588795140783,False
9,Palindrome Number,Easy,3156928,5881503,0.5367553157755764,False
10,Regular Expression Matching,Hard,811428,2896720,0.2801195835289569,False
11,Container With Most Water,Medium,2080144,3853650,0.5397853982587936,False
12,Integer to Roman,Medium,983074,1581521,0.6216003454901958,False
13,Roman to Integer,Easy,2623278,4474085,0.586327260210747,False
14,Longest Common Prefix,Easy,2357612,5759404,0.40934999524256327,False
15,3Sum,Medium,2632890,8061115,0.3266161070769987,False
16,3Sum Closest,Medium,1026708,2247943,0.45673222141308745,False
17,Letter Combinations of a Phone Number,Medium,1544329,2721489,0.5674573735186877,False
18,4Sum,Medium,735930,2052036,0.35863405905159557,False
19,Remove Nth Node From End of List,Medium,2005133,4854799,0.41302080683463926,False
20,Valid Parentheses,Easy,3304945,8171201,0.40446257533011365,False
21,Merge Two Sorted Lists,Easy,3195214,5100095,0.6265008789051969,False
22,Generate Parentheses,Medium,1393742,1918669,0.7264108608623999,False
23,Merge k Sorted Lists,Hard,1628727,3259090,0.4997490096928897,False
24,Swap Nodes in Pairs,Medium,1089118,1771030,0.6149630441042783,False
25,Reverse Nodes in k-Group,Hard,689300,1255349,0.5490903326485304,False
26,Remove Duplicates from Sorted Array,Easy,2955645,5711013,0.5175342798204101,False
27,Remove Element,Easy,1781490,3346674,0.5323165626529504,False
28,Find the Index of the First Occurrence in a String,Easy,1718538,4370859,0.39318083699336903,False
29,Divide Two Integers,Medium,604502,3530356,0.17122975699901086,False
30,Substring with Concatenation of All Words,Hard,345350,1103027,0.3130929705256535,False
31,Next Permutation,Medium,1032445,2739610,0.37685838495260277,False
32,Longest Valid Parentheses,Hard,615961,1873497,0.32877608023925314,False
33,Search in Rotated Sorted Array,Medium,2020130,5171764,0.3906075373895638,False
34,Find First and Last Position of Element in Sorted Array,Medium,1525116,3634345,0.41963985257315967,False
35,Search Insert Position,Easy,2178238,4999684,0.43567513466851104,False
36,Valid Sudoku,Medium,1086436,1866811,0.5819742866310516,False
37,Sudoku Solver,Hard,457438,789757,0.5792136062105179,False
38,Count and Say,Medium,785008,1500841,0.5230454125387033,False
39,Combination Sum,Medium,1458621,2120577,0.6878415638762468,False
40,Combination Sum II,Medium,739839,1384413,0.5344062790511213,False
41,First Missing Positive,Hard,875764,2379810,0.3679974451741946,False
42,Trapping Rain Water,Hard,1514248,2552513,0.593238114752011,False
43,Multiply Strings,Medium,660153,1681926,0.39249824308560544,False
44,Wildcard Matching,Hard,471169,1746085,0.26984310614889884,False
45,Jump Game II,Medium,884350,2216771,0.3989361102251879,False
46,Permutations,Medium,1569591,2070099,0.7582202590310898,False
47,Permutations II,Medium,783076,1362438,0.5747608331535087,False
48,Rotate Image,Medium,1273001,1787719,0.7120811492186412,False
49,Group Anagrams,Medium,1945593,2911981,0.6681338236753606,False
50,"Pow(x, n)",Medium,1194097,3606551,0.3310911172474755,False
51,N-Queens,Hard,539805,837425,0.6446010090455861,False
52,N-Queens II,Hard,308867,430553,0.7173727740835623,False
53,Maximum Subarray,Medium,3140556,6257273,0.5019049033021253,False
54,Spiral Matrix,Medium,1073773,2325142,0.46180964431419674,False
55,Jump Game,Medium,1377587,3538600,0.3893028316283276,False
56,Merge Intervals,Medium,1868261,4040980,0.46232869254487774,False
57,Insert Interval,Medium,758646,1940331,0.3909879293790596,False
58,Length of Last Word,Easy,1118378,2578648,0.43370712094089614,False
